row.name,subject,AI playing games,Apple smartphone,Art&literature,Baidu-Alibaba,Challenges to humanity,China R&D,Consumer services,Culture industry,Data governance,Driverless cars,Emulating human mind,Expert systems,"Facial recognition, security",FB-bots,Innovation,Google deepmind,Health,Humanoid robots,Markets & investments,MS investment,Threats to humanity,Universities,US-R&D,War technologies,Work automation,exx,exy,exz,grp,rexx,rexy,rexz,rgrp
s,UK,0.022727273,0.018308081,0.031565657,0.020833333,0.021464646,0.029040404,0.027146465,0.017045455,0.029671717,0.017045455,0.031565657,0.027777778,0.038510101,0.068813131,0.02209596,0.08459596,0.015782828,0.017676768,0.016414141,0.078282828,0.025883838,0.026515152,0.047348485,0.220959596,0.042929293,13,24,13,rd,0,7,18,hu
,US,0.025316456,0.040787623,0.026722925,0.045007032,0.028129395,0.029535865,0.026722925,0.026722925,0.035161744,0.05766526,0.025316456,0.143459916,0.047819972,0.037974684,0.042194093,0.029535865,0.030942335,0.025316456,0.052039381,0.085794655,0.025316456,0.026722925,0.030942335,0.028129395,0.026722925,1,5,1,ec,,,,
,US,0.010457516,0.014052288,0.018954248,0.014705882,0.052287582,0.009803922,0.014705882,0.016013072,0.013398693,0.009150327,0.031699346,0.023856209,0.038562092,0.019607843,0.015686275,0.028104575,0.008169935,0.033986928,0.097385621,0.040849673,0.022875817,0.06503268,0.061111111,0.018627451,0.320915033,2,6,2,ec ,,,,
,US,0.024193548,0.046296296,0.034348865,0.014934289,0.09916368,0.010752688,0.051075269,0.013739546,0.023297491,0.008661888,0.127837515,0.105436081,0.013142174,0.042413381,0.118876941,0.010752688,0.015830346,0.071684588,0.010155317,0.045101553,0.012246117,0.036439665,0.010454002,0.029569892,0.023596177,22,19,22,cu,,,,
,US,0.016759777,0.021725636,0.020484171,0.014897579,0.067659839,0.013035382,0.018621974,0.012414649,0.019242706,0.012414649,0.143389199,0.057728119,0.04283054,0.011793917,0.118559901,0.03786468,0.018621974,0.016139044,0.014276847,0.014897579,0.04531347,0.218497827,0.013656114,0.013035382,0.016139044,23,22,23,rd,,,,
,US,0.026143791,0.02875817,0.031372549,0.053594771,0.033986928,0.031372549,0.035294118,0.035294118,0.024836601,0.026143791,0.173856209,0.031372549,0.026143791,0.026143791,0.047058824,0.02875817,0.033986928,0.037908497,0.026143791,0.026143791,0.112418301,0.023529412,0.023529412,0.030065359,0.026143791,9,9,9,rd,,,,
,US,0.009033424,0.032520325,0.009936766,0.043812105,0.039747064,0.019421861,0.032520325,0.009936766,0.040198735,0.032971996,0.056910569,0.295844625,0.013550136,0.013550136,0.083107498,0.016711834,0.027551942,0.011743451,0.020325203,0.034778681,0.035682023,0.018518519,0.053748871,0.034778681,0.013098464,10,17,10,rd,,,,
,US,0.364983165,0.012794613,0.023232323,0.02020202,0.031649832,0.061616162,0.012794613,0.011447811,0.01010101,0.013804714,0.020875421,0.029292929,0.046801347,0.052861953,0.067003367,0.032996633,0.010774411,0.006734007,0.013804714,0.034006734,0.031313131,0.027609428,0.02996633,0.011784512,0.021548822,3,18,3,rd,,,,
,US,0.024515619,0.038750494,0.007908264,0.014630289,0.026097272,0.028469751,0.023329379,0.017793594,0.07275603,0.01107157,0.012653223,0.023724792,0.015025702,0.023724792,0.308422301,0.035191775,0.009489917,0.00988533,0.060498221,0.164887307,0.017002768,0.016211941,0.010676157,0.015816528,0.011466983,,,,,,,,
,US,0.008823529,0.008496732,0.05,0.026797386,0.064052288,0.020588235,0.038562092,0.05130719,0.033986928,0.012745098,0.061764706,0.197712418,0.026797386,0.017973856,0.032679739,0.008169935,0.021895425,0.008823529,0.028431373,0.153594771,0.014705882,0.030392157,0.02254902,0.025490196,0.033660131,,,,,,,,
